sampling,epsilon,iteration,seed_count,median_exploitability,minimum_exploitability,maximum_exploitability,median_elapsed_training_seconds
baseline,0.0,5,3,1.1834505377963467,1.1630610379472337,2.1744820311304824,5.655635901999631
baseline,0.0,10,3,1.1456134500953887,1.0259217349597995,1.4343265642457537,12.70048682399829
baseline,0.0,15,3,1.0963838416338307,1.0302514753840346,1.099349577490444,19.68402722599876
baseline,0.0,20,3,1.1077445115779572,1.0710714209578311,1.1610795052369562,27.622766912999396
exploratory,0.1,5,3,1.257804531999895,1.0175981684585267,2.105256465739569,7.101219166000192
exploratory,0.1,10,3,1.1938816036233058,1.057466448413814,1.3721808519243979,14.78792426200107
exploratory,0.1,15,3,1.126653343707023,1.0615525869850504,1.1593196254941476,21.820086711999465
exploratory,0.1,20,3,1.0913905309408007,1.072531473952035,1.2812053586394159,29.79778959699979
