update_steps,segment_training_seconds,cumulative_training_seconds,segment_updates_per_second,training_samples,validation_samples,training_loss,validation_loss
4000,65.11664558388293,65.11664558388293,61.42822567306881,27000,3000,0.004589601419866085,2.1441586017608643
8000,62.87232323503122,127.98896881891415,63.62099878267706,27000,3000,0.02248413860797882,2.128386974334717
16000,125.47188194608316,253.4608507649973,63.759305080302376,27000,3000,0.002958917524665594,2.0807089805603027
32000,251.49461748311296,504.95546824811026,63.619651824454444,27000,3000,0.0028859388548880816,1.9675883054733276
