benchmark_id,game,algorithm,implementation,solver,iteration,elapsed_training_seconds,expected_value_player_zero,exploitability,nash_conv
cfr_cfr_plus,kuhn,cfr,reference,naive_cfr,10,0.001989121999940835,-0.038385201121884316,0.06810736858085788,0.13621473716171575
cfr_cfr_plus,kuhn,cfr,optimised,cfr,10,9.606499952496961e-05,-0.038385201121884316,0.06810736858085788,0.13621473716171575
cfr_cfr_plus,kuhn,cfr,reference,naive_cfr,100,0.024707918000785867,-0.0549778426132122,0.007826217482540851,0.015652434965081702
cfr_cfr_plus,kuhn,cfr,optimised,cfr,100,0.0008127269975375384,-0.0549778426132122,0.007826217482540851,0.015652434965081702
cfr_cfr_plus,kuhn,cfr,reference,naive_cfr,1000,0.2084865790020558,-0.05551301459586383,0.0009287607884981286,0.0018575215769962572
cfr_cfr_plus,kuhn,cfr,optimised,cfr,1000,0.006593651996809058,-0.05551301459586383,0.0009287607884981286,0.0018575215769962572
cfr_cfr_plus,kuhn,cfr,reference,naive_cfr,10000,2.218764232002286,-0.05555239891453495,0.00011101215131914532,0.00022202430263829065
cfr_cfr_plus,kuhn,cfr,optimised,cfr,10000,0.07131128899709438,-0.05555239891453495,0.00011101215131914532,0.00022202430263829065
cfr_cfr_plus,kuhn,cfr_plus,reference,naive_cfr_plus,10,0.0018020469979092013,0.12500000000000006,0.45833333333333326,0.9166666666666665
cfr_cfr_plus,kuhn,cfr_plus,optimised,cfr_plus,10,0.00010774599650176242,0.12500000000000006,0.45833333333333326,0.9166666666666665
cfr_cfr_plus,kuhn,cfr_plus,reference,naive_cfr_plus,100,0.017976385999645572,-0.055560097505938766,0.0011334853678558326,0.0022669707357116653
cfr_cfr_plus,kuhn,cfr_plus,optimised,cfr_plus,100,0.0007239629958348814,-0.055560097505938766,0.0011334853678558326,0.0022669707357116653
cfr_cfr_plus,kuhn,cfr_plus,reference,naive_cfr_plus,1000,0.20637731199894915,-0.05555557405819317,7.340627420329704e-05,0.00014681254840659408
cfr_cfr_plus,kuhn,cfr_plus,optimised,cfr_plus,1000,0.006807914996898035,-0.05555557405819317,7.340627420329704e-05,0.00014681254840659408
cfr_cfr_plus,kuhn,cfr_plus,reference,naive_cfr_plus,10000,1.9745568729995284,-0.055555555562995934,9.049514753972643e-06,1.8099029507945286e-05
cfr_cfr_plus,kuhn,cfr_plus,optimised,cfr_plus,10000,0.0674568009962968,-0.055555555562995934,9.049514753972643e-06,1.8099029507945286e-05
cfr_cfr_plus,leduc,cfr,reference,naive_cfr,10,0.30794056200102204,-0.3298294752000279,0.8117078126920886,1.6234156253841772
cfr_cfr_plus,leduc,cfr,optimised,cfr,10,0.0020940350004821084,-0.3298294752000277,0.8117078126920885,1.623415625384177
cfr_cfr_plus,leduc,cfr,reference,naive_cfr,100,2.906360205997771,-0.10429241987509041,0.09000159430884824,0.18000318861769649
cfr_cfr_plus,leduc,cfr,optimised,cfr,100,0.019723729998077033,-0.10429241987509026,0.09000159430884605,0.1800031886176921
cfr_cfr_plus,leduc,cfr,reference,naive_cfr,1000,29.73242672399647,-0.08646255620223722,0.011426417689134286,0.02285283537826857
cfr_cfr_plus,leduc,cfr,optimised,cfr,1000,0.24855093999576638,-0.0864625634191365,0.011424577781843658,0.022849155563687315
cfr_cfr_plus,leduc,cfr,reference,naive_cfr,5000,150.95914895999522,-0.08577175128079656,0.0032213532515127583,0.0064427065030255165
cfr_cfr_plus,leduc,cfr,optimised,cfr,5000,1.2052655559964478,-0.08578214223296567,0.0033375035411716963,0.006675007082343393
cfr_cfr_plus,leduc,cfr_plus,reference,naive_cfr_plus,10,0.30133724299957976,-0.07812499999999996,2.3736111111111113,4.747222222222223
cfr_cfr_plus,leduc,cfr_plus,optimised,cfr_plus,10,0.002061077000689693,-0.07812499999999996,2.3736111111111113,4.747222222222223
cfr_cfr_plus,leduc,cfr_plus,reference,naive_cfr_plus,100,2.8729788179989555,-0.08354051082541834,0.012966782371384898,0.025933564742769796
cfr_cfr_plus,leduc,cfr_plus,optimised,cfr_plus,100,0.02575461800006451,-0.08354051082596213,0.01296678237097109,0.02593356474194218
cfr_cfr_plus,leduc,cfr_plus,reference,naive_cfr_plus,1000,29.053643606996047,-0.08559050100475062,0.0002560509112291623,0.0005121018224583246
cfr_cfr_plus,leduc,cfr_plus,optimised,cfr_plus,1000,0.23511689599763486,-0.08559079932579682,0.0002537304103764973,0.0005074608207529946
cfr_cfr_plus,leduc,cfr_plus,reference,naive_cfr_plus,5000,152.77753585799655,-0.0856059166312005,1.3825689116980788e-05,2.7651378233961577e-05
cfr_cfr_plus,leduc,cfr_plus,optimised,cfr_plus,5000,1.1093781130002753,-0.0856059274363818,1.7358687641050308e-05,3.4717375282100615e-05
