validation_id,game,solver,seed,iteration,traversals,elapsed_training_seconds,expected_value_player_zero,exploitability,nash_conv
mccfr_reference_convergence,leduc,naive_mccfr,20260810,1000,2000,0.06684062400017865,-0.09642129304316796,1.2862569065667717,2.5725138131335434
mccfr_reference_convergence,leduc,naive_mccfr,20260810,5000,10000,0.3419966419969569,-0.11000674267625551,0.5492425391257263,1.0984850782514526
mccfr_reference_convergence,leduc,naive_mccfr,20260810,10000,20000,0.6698664499926963,-0.10584907948883164,0.3044964024758132,0.6089928049516264
mccfr_reference_convergence,leduc,naive_mccfr,20260810,25000,50000,1.6482647309967433,-0.09457883297942923,0.174003107261135,0.34800621452227
mccfr_reference_convergence,leduc,naive_mccfr,20260810,50000,100000,3.2658804039965617,-0.095600023647345,0.11109330889132948,0.22218661778265897
mccfr_reference_convergence,leduc,naive_mccfr,20260810,100000,200000,6.526152950995311,-0.08999085478905598,0.07329295686339918,0.14658591372679836
mccfr_reference_convergence,leduc,naive_mccfr,20260810,250000,500000,16.447437014998286,-0.08841180168352031,0.0470695553101197,0.0941391106202394
mccfr_reference_convergence,leduc,naive_mccfr,20260810,500000,1000000,32.99544617599895,-0.08815675278621764,0.03112414692712538,0.06224829385425076
mccfr_reference_convergence,leduc,naive_mccfr,20260811,1000,2000,0.06803172099898802,-0.09414326907183573,1.386080838618866,2.772161677237732
mccfr_reference_convergence,leduc,naive_mccfr,20260811,5000,10000,0.3578992089969688,-0.17175258950093866,0.5407923539240105,1.081584707848021
mccfr_reference_convergence,leduc,naive_mccfr,20260811,10000,20000,0.6953337829982047,-0.12037757454882189,0.2879633742426312,0.5759267484852624
mccfr_reference_convergence,leduc,naive_mccfr,20260811,25000,50000,1.6782605719999992,-0.10503399165650862,0.15260440246039447,0.30520880492078895
mccfr_reference_convergence,leduc,naive_mccfr,20260811,50000,100000,3.3760289619967807,-0.09859532364434581,0.10759005816044243,0.21518011632088485
mccfr_reference_convergence,leduc,naive_mccfr,20260811,100000,200000,6.656661858993175,-0.08848058517366185,0.06876165117863697,0.13752330235727395
mccfr_reference_convergence,leduc,naive_mccfr,20260811,250000,500000,16.306245121995744,-0.09028203400980837,0.04832303767899522,0.09664607535799044
mccfr_reference_convergence,leduc,naive_mccfr,20260811,500000,1000000,32.752885425994464,-0.08896512570370085,0.02985376633850564,0.05970753267701128
mccfr_reference_convergence,leduc,naive_mccfr,20260812,1000,2000,0.0636345530001563,-0.12686723897121513,1.249167073056575,2.49833414611315
