validation_id,game,solver,seed,iteration,traversals,elapsed_training_seconds,expected_value_player_zero,exploitability,nash_conv,player_zero_advantage_training_loss,player_zero_advantage_validation_loss,player_one_advantage_training_loss,player_one_advantage_validation_loss,strategy_training_loss,strategy_validation_loss
deep_cfr,leduc,naive_deep_cfr,20260810,1,400,2.762154740994447,0.9528486765151072,3.948847504001495,7.89769500800299,2.8785996437072754,3.4524219036102295,169.35690307617188,169.6079864501953,0.010549365542829037,0.004325556568801403
deep_cfr,leduc,naive_deep_cfr,20260810,5,2000,16.559081640996737,0.19228163745901658,1.6981275582678144,3.3962551165356287,82.3091049194336,83.7868881225586,54.71122741699219,50.4547004699707,0.09719417244195938,0.10245051234960556
deep_cfr,leduc,naive_deep_cfr,20260810,10,4000,44.410114679980325,0.22333559817281767,1.0357131183712016,2.0714262367424032,38.13930130004883,36.67707061767578,36.689117431640625,34.1934928894043,0.16153258085250854,0.17114871740341187
deep_cfr,leduc,naive_deep_cfr,20260810,20,8000,147.32465952700295,0.1484648011223903,0.726331720034584,1.452663440069168,27.612333297729492,27.60770606994629,37.36855697631836,37.57486343383789,0.1950989067554474,0.19882597029209137
deep_cfr,leduc,naive_deep_cfr,20260811,1,400,1.339912611991167,0.9465801943760599,3.9952071768389894,7.990414353677979,2.814032793045044,3.426027774810791,164.49566650390625,143.10726928710938,0.002047932706773281,0.0022746871691197157
deep_cfr,leduc,naive_deep_cfr,20260811,5,2000,24.738575610972475,-0.008024793583891835,1.9510496422300951,3.9020992844601903,82.92974090576172,81.26712799072266,58.20341110229492,58.013702392578125,0.09234799444675446,0.09465350210666656
deep_cfr,leduc,naive_deep_cfr,20260811,10,4000,50.439009999958216,0.33750857048063615,1.176884164266296,2.353768328532592,42.1129150390625,46.27717590332031,41.95847702026367,46.1292610168457,0.1561564952135086,0.15356126427650452
deep_cfr,leduc,naive_deep_cfr,20260811,20,8000,124.87074938895239,0.19035638329892704,0.9298899882073398,1.8597799764146796,34.52638626098633,35.78848648071289,36.06655502319336,37.66347885131836,0.1851746141910553,0.1923709660768509
deep_cfr,leduc,naive_deep_cfr,20260812,1,400,1.5710839390085312,1.0206638908517582,2.7574252241620982,5.5148504483241965,3.137629270553589,2.458749771118164,228.12030029296875,181.29225158691406,0.04861775040626526,0.03649938106536865
deep_cfr,leduc,naive_deep_cfr,20260812,5,2000,12.975931675013271,0.010510523969027309,1.8488458545270903,3.6976917090541805,75.15237426757812,78.67322540283203,57.50242614746094,51.40161895751953,0.08740431815385818,0.09263703227043152
deep_cfr,leduc,naive_deep_cfr,20260812,10,4000,44.547347754007205,0.20307389112788718,1.0067256821808144,2.0134513643616287,40.69036865234375,46.03264617919922,41.71781539916992,40.627140045166016,0.15141776204109192,0.15762445330619812
deep_cfr,leduc,naive_deep_cfr,20260812,20,8000,122.66749168901879,0.11358387177079807,0.8198643410387112,1.6397286820774224,30.041988372802734,31.580883026123047,31.21150016784668,32.67615509033203,0.18671511113643646,0.19017064571380615
deep_cfr,leduc,naive_deep_cfr,20260813,1,400,1.5833538339938968,0.9991068355196486,1.7466321109897338,3.4932642219794676,2.5099565982818604,2.7771267890930176,239.05267333984375,356.44342041015625,0.002342123771086335,0.004420440178364515
deep_cfr,leduc,naive_deep_cfr,20260813,5,2000,14.100108137979987,-0.20160025321885058,1.998701182136609,3.997402364273218,87.8354721069336,94.02533721923828,67.42848205566406,66.6534194946289,0.15937860310077667,0.16562019288539886
deep_cfr,leduc,naive_deep_cfr,20260813,10,4000,39.94111889100168,0.25218928489155185,1.0260963901138302,2.0521927802276605,47.10082244873047,45.66857147216797,44.96687316894531,47.3575325012207,0.164959117770195,0.17494015395641327
deep_cfr,leduc,naive_deep_cfr,20260813,20,8000,113.51619267901697,0.0979651923228943,0.6679166658444006,1.3358333316888011,25.801551818847656,25.387598037719727,32.90899658203125,35.16438674926758,0.1826522797346115,0.18058013916015625
deep_cfr,leduc,naive_deep_cfr,20260814,1,400,4.657767689001048,0.9572730648796025,2.3593688307190384,4.718737661438077,3.1035852432250977,3.449923038482666,157.16748046875,135.2087860107422,0.05598822608590126,0.0345364473760128
deep_cfr,leduc,naive_deep_cfr,20260814,5,2000,21.052435673002037,0.07485128317748642,1.988047683551402,3.976095367102804,76.57373809814453,86.40371704101562,79.3185806274414,75.67323303222656,0.10914669930934906,0.11099398136138916
deep_cfr,leduc,naive_deep_cfr,20260814,10,4000,43.01190064002003,0.2531719208707351,1.0934194996658428,2.1868389993316857,40.42678451538086,39.403892517089844,45.16604232788086,47.58225631713867,0.1325293779373169,0.13181795179843903
deep_cfr,leduc,naive_deep_cfr,20260814,20,8000,135.3173949970369,0.2104461284759678,0.9266070837023869,1.8532141674047737,31.992063522338867,33.3240852355957,35.60421371459961,39.54186248779297,0.2011764943599701,0.20702435076236725
