validation_id,game,implementation,solver,iteration,seed_count,median_elapsed_training_seconds,median_expected_value_player_zero,median_exploitability,minimum_exploitability,maximum_exploitability,median_nash_conv
mccfr,leduc,reference,naive_mccfr,1000,5,0.06684062400017865,-0.1034798992264061,1.2862569065667717,1.1849960877950174,1.4501507133434823,2.5725138131335434
mccfr,leduc,reference,naive_mccfr,5000,5,0.34891656700347085,-0.13568193257507202,0.5058583695066947,0.4666325450217078,0.5492425391257263,1.0117167390133894
mccfr,leduc,reference,naive_mccfr,10000,5,0.6882377439978882,-0.11383937853162661,0.3044964024758132,0.2879633742426312,0.30980462058835295,0.6089928049516264
mccfr,leduc,reference,naive_mccfr,25000,5,1.6782605719999992,-0.09457883297942923,0.17287634710861222,0.15260440246039447,0.175210099422696,0.34575269421722443
mccfr,leduc,reference,naive_mccfr,50000,5,3.3760289619967807,-0.09361884718573082,0.10759005816044243,0.10088346828582065,0.1137889723509118,0.21518011632088485
mccfr,leduc,reference,naive_mccfr,100000,5,6.656661858993175,-0.08856105644802538,0.07122351975265279,0.06876165117863697,0.08256206828999543,0.14244703950530557
mccfr,leduc,reference,naive_mccfr,250000,5,16.447437014998286,-0.08976238590489603,0.04362872169338797,0.04139420420664468,0.04832303767899522,0.08725744338677593
mccfr,leduc,reference,naive_mccfr,500000,5,32.99544617599895,-0.08896512570370085,0.02985376633850564,0.026759202650502092,0.03651103400541847,0.05970753267701128
mccfr,leduc,optimised,mccfr,1000,5,0.006070964001992252,-0.13028888210244713,1.2661743473517315,1.2205128556436726,1.3663980892531296,2.532348694703463
mccfr,leduc,optimised,mccfr,5000,5,0.019907698006136343,-0.14138872289395704,0.48112324748848295,0.42608323624282385,0.5537804530354336,0.9622464949769659
mccfr,leduc,optimised,mccfr,10000,5,0.033368936004990246,-0.10066313552785595,0.2966043695344025,0.27421913598395553,0.30917757258393164,0.593208739068805
mccfr,leduc,optimised,mccfr,25000,5,0.07158981100656092,-0.10155310120923747,0.16621536565939155,0.14751137223782348,0.1830499927001326,0.3324307313187831
mccfr,leduc,optimised,mccfr,50000,5,0.130453297009808,-0.09253980803955082,0.10546935523391397,0.0968698483810759,0.1074603587914223,0.21093871046782794
mccfr,leduc,optimised,mccfr,100000,5,0.25986070800718153,-0.08762950437208923,0.07423886084327504,0.06679237110602183,0.08126948059647623,0.14847772168655007
mccfr,leduc,optimised,mccfr,250000,5,0.6523586920011439,-0.08840337395491005,0.04369038972075709,0.04212854319210309,0.0467630992793089,0.08738077944151418
mccfr,leduc,optimised,mccfr,500000,5,1.2479992500011576,-0.08794156473905188,0.030801946517174335,0.02724779599581271,0.03541896560537419,0.06160389303434867
mccfr,leduc,optimised,mccfr,1000000,5,2.548447971988935,-0.08769115229387633,0.02116204733539668,0.019922473182482553,0.024804465246261894,0.04232409467079336
mccfr,leduc,optimised,mccfr,2000000,5,5.0939137330060476,-0.0875564689904166,0.015038234702023798,0.0147796786336322,0.016231896765317236,0.030076469404047596
mccfr,leduc,optimised,mccfr,5000000,5,13.120257725000556,-0.08682251155971833,0.009202127978828717,0.008930175284399086,0.010746969633117054,0.018404255957657434
mccfr,leduc,optimised,mccfr,10000000,5,26.29916860400408,-0.08658430376604245,0.006919286325432386,0.0064569209064437305,0.007469717552237257,0.013838572650864772
mccfr,leduc,optimised,mccfr,20000000,5,53.18113902600453,-0.08627074273581285,0.004500984526344891,0.004340130515323823,0.005079124973630514,0.009001969052689782
