game,game_version,utility_unit,solver,run_id,strategy_snapshot_id,source_checkpoint_id,iteration,seed,elapsed_training_seconds,expected_value_player_zero,exploitability,nash_conv,traversals,traversals_per_second,player_zero_advantage_training_loss,player_zero_advantage_validation_loss,player_one_advantage_training_loss,player_one_advantage_validation_loss,strategy_training_loss,strategy_validation_loss
leduc,leduc,chip,optimised,leduc-deep-cfr-final-a1000-seed-20260811,leduc-deep-cfr-final-a1000-seed-20260811_iter_1,leduc-deep-cfr-final-a1000-seed-20260811_iter_1,1,20260811,6.562789122996037,1.000938360258726,3.675321771078087,7.350643542156174,2000,304.7484785077114,1.0237469673156738,1.2005305290222168,33.51786422729492,37.81761932373047,1.6782485545263626e-05,1.5117426301003434e-05
leduc,leduc,chip,optimised,leduc-deep-cfr-final-a1000-seed-20260811,leduc-deep-cfr-final-a1000-seed-20260811_iter_20,leduc-deep-cfr-final-a1000-seed-20260811_iter_20,20,20260811,82.0524963610078,-0.12709519191958132,0.40034368462683684,0.8006873692536737,40000,487.4927853993778,33.194541931152344,33.831146240234375,26.438220977783203,27.34425926208496,0.1798132061958313,0.18390189111232758
leduc,leduc,chip,optimised,leduc-deep-cfr-final-a1000-seed-20260811,leduc-deep-cfr-final-a1000-seed-20260811_iter_50,leduc-deep-cfr-final-a1000-seed-20260811_iter_50,50,20260811,192.68978068999422,-0.11014592242883262,0.2559240937324816,0.5118481874649632,100000,518.9688817015333,27.68255043029785,28.071353912353516,25.214435577392578,26.958898544311523,0.1933913677930832,0.16876910626888275
leduc,leduc,chip,optimised,leduc-deep-cfr-final-a1000-seed-20260811,leduc-deep-cfr-final-a1000-seed-20260811_iter_75,leduc-deep-cfr-final-a1000-seed-20260811_iter_75,75,20260811,285.65867145099037,-0.11718946102837617,0.21308327529500604,0.42616655059001207,150000,525.1022111041887,29.550399780273438,27.037717819213867,29.37590980529785,27.748241424560547,0.18923145532608032,0.18090501427650452
leduc,leduc,chip,optimised,leduc-deep-cfr-final-a1000-seed-20260811,leduc-deep-cfr-final-a1000-seed-20260811_iter_100,leduc-deep-cfr-final-a1000-seed-20260811_iter_100,100,20260811,387.21651347998704,-0.10409794535885007,0.3752252605676273,0.7504505211352546,200000,516.5068974010501,28.424833297729492,27.16823959350586,25.223373413085938,30.094425201416016,0.20068342983722687,0.20782563090324402
leduc,leduc,chip,optimised,leduc-deep-cfr-final-a1000-seed-20260811,leduc-deep-cfr-final-a1000-seed-20260811_iter_125,leduc-deep-cfr-final-a1000-seed-20260811_iter_125,125,20260811,486.2125332389842,-0.1058444981208499,0.31077124294624825,0.6215424858924965,250000,514.178436196583,28.577383041381836,28.114013671875,27.52526092529297,26.201913833618164,0.1941508799791336,0.19423016905784607
leduc,leduc,chip,optimised,leduc-deep-cfr-final-a1000-seed-20260811,leduc-deep-cfr-final-a1000-seed-20260811_iter_150,leduc-deep-cfr-final-a1000-seed-20260811_iter_150,150,20260811,579.8154670369695,-0.1302821838312687,0.2056493185340995,0.411298637068199,300000,517.4059973478971,31.3758544921875,34.019004821777344,29.099361419677734,27.652172088623047,0.20239925384521484,0.19311480224132538
leduc,leduc,chip,optimised,leduc-deep-cfr-final-a1000-seed-20260811,leduc-deep-cfr-final-a1000-seed-20260811_iter_175,leduc-deep-cfr-final-a1000-seed-20260811_iter_175,175,20260811,671.4520264099847,-0.11615002537892279,0.280136855638841,0.560273711277682,350000,521.2583866509802,35.304771423339844,35.765621185302734,27.36337661743164,26.999256134033203,0.20340752601623535,0.21587125957012177
leduc,leduc,chip,optimised,leduc-deep-cfr-final-a1000-seed-20260811,leduc-deep-cfr-final-a1000-seed-20260811_iter_200,leduc-deep-cfr-final-a1000-seed-20260811_iter_200,200,20260811,770.1558473629702,-0.12801844657906108,0.25034433766246467,0.5006886753249293,400000,519.3753983295827,31.199615478515625,29.814035415649414,25.231210708618164,28.415599822998047,0.20510247349739075,0.20347566902637482
