game,game_version,solver,run_id,strategy_snapshot_id,iteration,seed,elapsed_training_seconds,iteration_seconds,traversal_seconds,advantage_training_seconds,strategy_training_seconds,player_zero_advantage_training_loss,player_zero_advantage_validation_loss,player_one_advantage_training_loss,player_one_advantage_validation_loss,strategy_training_loss,strategy_validation_loss,player_zero_advantage_samples_retained,player_zero_advantage_samples_seen,player_one_advantage_samples_retained,player_one_advantage_samples_seen,strategy_samples_retained,strategy_samples_seen,process_rss_bytes,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes,free_disk_bytes
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,23,20260811,9446.79463963001,651.204839044949,318.3147002989426,318.2788719309028,0.0,2.7686803340911865,17.660642623901367,8.863273620605469,10.279784202575684,,,1533965,1533965,3150517,3150517,6481669,6481669,5972221952,303094784,522190848,167050595963
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,24,20260811,9754.910188839072,324.5609773271717,15.80950606893748,292.30597264599055,0.0,2.666196346282959,16.512929916381836,8.41191577911377,9.766589164733887,,,1592962,1592962,3288898,3288898,6763341,6763341,6477611008,296370688,515899392,184047891323
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,25,20260811,10061.838122151094,322.85723952087574,15.876695472979918,291.051073777955,0.0,2.585818290710449,15.92530632019043,8.195115089416504,9.160660743713379,,,1656497,1656497,3417368,3417368,7042059,7042059,6672068608,303094784,522190848,183847554716
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,26,20260811,10366.805020008003,321.5190877739806,15.539666194235906,289.42719786800444,0.0,2.466362714767456,14.939725875854492,8.060970306396484,8.999024391174316,,,1718223,1718223,3548934,3548934,7319943,7319943,6871875584,303094784,522190848,183647026525
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,27,20260811,10674.543030503904,325.173023781972,15.728452543029562,292.00951447105035,0.0,2.383749485015869,14.517168045043945,7.6306562423706055,8.571078300476074,,,1776438,1776438,3692337,3692337,7606638,7606638,7088005120,303094784,522190848,183439206203
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,28,20260811,10989.079236188903,333.0883302509319,15.916308676358312,298.6198313247878,0.0,2.2681360244750977,13.875577926635742,7.6969451904296875,8.550527572631836,,,1837480,1837480,3839374,3839374,7900649,7900649,7294316544,303094784,522190848,183225523450
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,29,20260811,11301.282816712977,330.06535377097316,15.55969257792458,296.6438442352228,0.0,2.222119092941284,13.48509693145752,7.242679595947266,8.004900932312012,,,1899457,1899457,3981756,3981756,8190965,8190965,7502221312,303094784,522190848,183014995671
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,30,20260811,11615.91246424499,332.9045528159477,15.88114425423555,298.74842349789105,0.0,2.1775293350219727,12.90810489654541,6.827625751495361,7.51047945022583,,,1961253,1961253,4116527,4116527,8471861,8471861,7755948032,303094784,522190848,182811792536
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,31,20260811,11942.149576266995,345.7475740988739,16.446814795956016,309.7902527709957,0.0,2.03584361076355,12.456578254699707,6.809980869293213,7.543312072753906,,,2024441,2024441,4272308,4272308,8774086,8774086,8025796608,303094784,522190848,176364239209
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,32,20260811,12270.095962936059,347.65614669700153,16.261127918958664,311.6852078840602,0.0,2.04899263381958,11.759820938110352,6.817999839782715,7.319411754608154,,,2083341,2083341,4421419,4421419,9069151,9069151,8255647744,303094784,522190848,176150136298
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,33,20260811,12581.5705594779,332.0461702409666,15.708329781657085,295.7662271140143,0.0,1.946826457977295,11.32784366607666,6.634577751159668,7.2050933837890625,,,2141537,2141537,4566548,4566548,9355162,9355162,8457461760,303094784,522190848,175941881929
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,34,20260811,12892.207586207893,331.62543268478476,15.92535283206962,294.7116418159567,0.0,1.8714491128921509,10.982444763183594,6.314867973327637,6.882260799407959,,,2206256,2206256,4694405,4694405,9629016,9629016,8534323200,303094784,522190848,175743374795
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,35,20260811,13205.811235128902,335.3768859200645,15.865002758102491,297.73861013702117,0.0,1.8025918006896973,10.8966703414917,6.336636543273926,6.704411506652832,,,2270165,2270165,4832549,4832549,9915629,9915629,8801021952,303094784,522190848,175535404777
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,36,20260811,13517.127981901867,333.3063074059319,15.32055461476557,295.99615110014565,0.0,1.7555806636810303,10.211128234863281,6.131786346435547,6.576548099517822,,,2329918,2329918,4959885,4959885,10000000,10184026,8839856128,303094784,522190848,175419949097
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,37,20260811,13826.720562212868,331.4297307129018,15.69938413402997,293.89316229405813,0.0,1.7093441486358643,9.935304641723633,5.8948140144348145,6.367130279541016,,,2394464,2394464,5084813,5084813,10000000,10459365,8923217920,303094784,522190848,175339421957
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,38,20260811,14140.181860459037,335.90462172520347,17.16092478390783,296.30033314600587,0.0,1.6646679639816284,9.833341598510742,5.5845866203308105,6.08786678314209,,,2456087,2456087,5255209,5255209,10000000,10778439,9018159104,303094784,522190848,175240813443
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,39,20260811,14451.191853339085,333.59721438004635,15.67407362908125,295.33588066790253,0.0,1.6245416402816772,9.276718139648438,5.551155090332031,6.005069255828857,,,2512157,2512157,5392370,5392370,10000000,11054467,9165217792,303094784,522190848,175158689567
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_40,40,20260811,14861.084447853267,432.7120255259797,15.547546713845804,297.32680104114115,97.0181915271096,1.5718755722045898,9.074310302734375,5.43843412399292,5.839550495147705,0.08230753988027573,0.09661641716957092,2570085,2570085,5527209,5527209,10000000,11328802,9239764992,303094784,522190848,175063304726
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,41,20260811,15181.096738155233,342.0647967699915,16.01623154222034,303.99599282699637,0.0,1.5668656826019287,8.995311737060547,5.413050651550293,5.7223429679870605,,,2630086,2630086,5663022,5663022,10000000,11610188,9282441216,296370688,515899392,174986809734
holdem,modified_hulhe,optimised,modified-hulhe-k10-u8-grouped,,42,20260811,15498.214217631146,340.37132935994305,15.68045530631207,301.4369441079907,0.0,1.5221455097198486,8.544412612915039,5.156013011932373,5.532975196838379,,,2690343,2690343,5794596,5794596,10000000,11888659,9360605184,303094784,522190848,174905281091
