game,game_version,utility_unit,solver,run_id,strategy_snapshot_id,source_checkpoint_id,iteration,seed,opponent_id,opponent_snapshot_id,opponent_iteration,hands,paired_deals,mbb_per_game,confidence_level,confidence_interval_method,confidence_interval_low,confidence_interval_high,bootstrap_resamples
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_150,modified-hulhe-k10-u8-grouped_iter_150,150,20260811,modified-hulhe-k10-u8-grouped_iter_130,modified-hulhe-k10-u8-grouped_iter_130,130,20000,10000,-8.45,0.95,seeded_paired_bootstrap_percentile,-39.55,22.65,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_150,modified-hulhe-k10-u8-grouped_iter_150,150,20260811,modified-hulhe-k10-u8-grouped_iter_150,modified-hulhe-k10-u8-grouped_iter_150,150,20000,10000,-20.25,0.95,seeded_paired_bootstrap_percentile,-50.65124999999999,10.801249999999982,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_180,modified-hulhe-k10-u8-grouped_iter_180,180,20260811,rule_based_v1,,0,20000,10000,148.65,0.95,seeded_paired_bootstrap_percentile,123.54875000000001,173.9,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_180,modified-hulhe-k10-u8-grouped_iter_180,180,20260811,uniform_random,,0,20000,10000,549.6999999999999,0.95,seeded_paired_bootstrap_percentile,509.6975,590.1,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_180,modified-hulhe-k10-u8-grouped_iter_180,180,20260811,modified-hulhe-k10-u8-grouped_iter_100,modified-hulhe-k10-u8-grouped_iter_100,100,20000,10000,27.55,0.95,seeded_paired_bootstrap_percentile,-6.05,60.45,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_180,modified-hulhe-k10-u8-grouped_iter_180,180,20260811,modified-hulhe-k10-u8-grouped_iter_130,modified-hulhe-k10-u8-grouped_iter_130,130,20000,10000,8.55,0.95,seeded_paired_bootstrap_percentile,-22.5,39.45124999999999,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_180,modified-hulhe-k10-u8-grouped_iter_180,180,20260811,modified-hulhe-k10-u8-grouped_iter_150,modified-hulhe-k10-u8-grouped_iter_150,150,20000,10000,-2.65,0.95,seeded_paired_bootstrap_percentile,-33.65,28.2,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_180,modified-hulhe-k10-u8-grouped_iter_180,180,20260811,modified-hulhe-k10-u8-grouped_iter_180,modified-hulhe-k10-u8-grouped_iter_180,180,20000,10000,-21.45,0.95,seeded_paired_bootstrap_percentile,-51.20249999999998,8.45124999999998,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_210,modified-hulhe-k10-u8-grouped_iter_210,210,20260811,rule_based_v1,,0,20000,10000,133.64999999999998,0.95,seeded_paired_bootstrap_percentile,107.74875000000002,159.6,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_210,modified-hulhe-k10-u8-grouped_iter_210,210,20260811,uniform_random,,0,20000,10000,605.15,0.95,seeded_paired_bootstrap_percentile,563.84875,647.2012500000001,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_210,modified-hulhe-k10-u8-grouped_iter_210,210,20260811,modified-hulhe-k10-u8-grouped_iter_100,modified-hulhe-k10-u8-grouped_iter_100,100,20000,10000,53.199999999999996,0.95,seeded_paired_bootstrap_percentile,20.548750000000013,85.9,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_210,modified-hulhe-k10-u8-grouped_iter_210,210,20260811,modified-hulhe-k10-u8-grouped_iter_150,modified-hulhe-k10-u8-grouped_iter_150,150,20000,10000,10.35,0.95,seeded_paired_bootstrap_percentile,-19.9,41.5,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_210,modified-hulhe-k10-u8-grouped_iter_210,210,20260811,modified-hulhe-k10-u8-grouped_iter_180,modified-hulhe-k10-u8-grouped_iter_180,180,20000,10000,6.45,0.95,seeded_paired_bootstrap_percentile,-23.001249999999988,36.251249999999985,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_210,modified-hulhe-k10-u8-grouped_iter_210,210,20260811,modified-hulhe-k10-u8-grouped_iter_210,modified-hulhe-k10-u8-grouped_iter_210,210,20000,10000,-11.25,0.95,seeded_paired_bootstrap_percentile,-41.05,18.601249999999983,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_240,modified-hulhe-k10-u8-grouped_iter_240,240,20260811,rule_based_v1,,0,20000,10000,151.7,0.95,seeded_paired_bootstrap_percentile,125.99875000000002,177.7,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_240,modified-hulhe-k10-u8-grouped_iter_240,240,20260811,uniform_random,,0,20000,10000,562.1500000000001,0.95,seeded_paired_bootstrap_percentile,521.8,603.4525,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_240,modified-hulhe-k10-u8-grouped_iter_240,240,20260811,modified-hulhe-k10-u8-grouped_iter_100,modified-hulhe-k10-u8-grouped_iter_100,100,20000,10000,51.55,0.95,seeded_paired_bootstrap_percentile,19.3,83.45124999999999,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_240,modified-hulhe-k10-u8-grouped_iter_240,240,20260811,modified-hulhe-k10-u8-grouped_iter_150,modified-hulhe-k10-u8-grouped_iter_150,150,20000,10000,15.549999999999999,0.95,seeded_paired_bootstrap_percentile,-13.852499999999978,45.65,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_240,modified-hulhe-k10-u8-grouped_iter_240,240,20260811,modified-hulhe-k10-u8-grouped_iter_180,modified-hulhe-k10-u8-grouped_iter_180,180,20000,10000,-3.7,0.95,seeded_paired_bootstrap_percentile,-32.7,25.00124999999998,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_240,modified-hulhe-k10-u8-grouped_iter_240,240,20260811,modified-hulhe-k10-u8-grouped_iter_210,modified-hulhe-k10-u8-grouped_iter_210,210,20000,10000,-8.55,0.95,seeded_paired_bootstrap_percentile,-37.25124999999999,19.801249999999982,10000
holdem,modified_hulhe,chip,optimised,modified-hulhe-k10-u8-grouped,modified-hulhe-k10-u8-grouped_iter_240,modified-hulhe-k10-u8-grouped_iter_240,240,20260811,modified-hulhe-k10-u8-grouped_iter_240,modified-hulhe-k10-u8-grouped_iter_240,240,20000,10000,-11.950000000000001,0.95,seeded_paired_bootstrap_percentile,-40.45,15.9,10000
