workers,total_traversals,iteration_seconds,traversal_seconds,advantage_training_seconds,strategy_training_seconds,collection_traversals_per_second,end_to_end_traversals_per_second,process_rss_bytes,cuda_peak_allocated_bytes,cuda_peak_reserved_bytes,free_disk_bytes
8,20000,76.88764495402575,33.004877927247435,41.32594309700653,1.9177258270792663,605.9710338600842,260.1198161442802,2040012800,282922496,616562688,199613271205
10,20000,41.14932662108913,31.672940442105755,6.91889602993615,1.8757573610637337,631.4538442225642,486.0358999081651,2048040960,282922496,616562688,199614131169
12,20000,39.11501610488631,29.52762368088588,6.911479883128777,1.8624151127878577,677.3318508846548,511.3125597606025,2038120448,282922496,616562688,199621187171
